file ext 239 65 20 2800 R
arg ext 20 45 0 9800 B
arg ext 173 100 25 5600 R
arg ext 196 114 50 1900 R
arg ext 111 64 75 4300 B
arg ext 135 45 0 3200 R
arg ext 226 45 0 6700 B
arg ext 156 45 0 900 R
arg ext 28 32 30 1600 B
arg ext 109 45 0 900 R
arg ext 179 112 50 2100 R
arg ext 206 65 50 5000 R
arg ext 137 45 0 200 R
arg ext 14 112 12 500 R
arg ext 157 101 75 3800 R
arg ext 194 97 25 7200 R
arg ext 117 45 0 7500 R
arg ext 229 116 50 4100 R
arg ext 94 112 12 3400 R
arg ext 9 116 50 2700 R
arg ext 92 45 0 7300 B
arg ext 12 45 0 9600 R
arg ext 113 45 0 1800 R
arg ext 169 112 83 3500 R
arg ext 37 101 50 5800 R
arg ext 127 108 33 6400 R
arg ext 57 108 50 4100 R
arg ext 70 46 0 1000 R
arg ext 25 46 0 6300 R
arg ext 113 99 66 7800 R
arg ext 232 45 0 4700 R
arg ext 131 98 16 6800 R
arg ext 238 108 50 9900 R
arg ext 108 45 0 1000 R
arg ext 74 115 50 900 R
arg ext 80 45 0 200 B
arg ext 193 110 14 8800 R
arg ext 105 115 50 1600 R
arg ext 21 115 50 9600 R
arg ext 101 115 50 7000 R
arg ext 47 115 50 3400 R
arg ext 126 115 50 1800 R
arg ext 14 115 50 1400 R
arg ext 78 1 0 5200 B
arg ext 207 105 50 3800 R
arg ext 39 58 50 5600 B
arg ext 4 45 0 2600 R
file ext 121 65 95 3300 R
file ext 222 65 25 7700 R
arg ext 72 99 50 8100 R
file ext 126 65 95 3800 R
arg ext 231 99 50 2100 R
arg ext 134 45 0 8900 R
file ext 66 65 0 2800 R
arg ext 140 45 0 6500 R
arg ext 146 99 50 2900 R
arg ext 140 108 0 8500 R
arg ext 246 108 0 200 R
file ext 81 10 58 1700 R
arg ext 13 1 0 1600 B
arg ext 218 64 50 7300 B
arg ext 57 8 0 1200 R
arg ext 60 45 0 8900 B
arg ext 253 99 16 6700 R
arg ext 116 126 20 300 R
arg ext 14 47 30 2800 R
file ext 66 65 50 1600 R
arg ext 213 76 11 3200 R
arg ext 230 97 22 2100 R
arg ext 7 76 11 5200 R
arg ext 31 117 55 2600 R
arg ext 41 65 70 1500 R
file ext 35 31 0 3600 R
arg ext 19 65 30 9000 R
file ext 203 65 0 5600 B
arg ext 72 4 28 8500 R
arg ext 158 91 42 7700 R
arg ext 205 91 71 800 B
arg ext 229 65 50 8900 R
arg ext 199 4 28 2400 R
arg ext 207 32 0 7100 B
arg ext 138 58 40 1100 R
arg ext 35 116 20 1800 R
arg ext 46 104 0 9400 R
arg ext 237 128 70 1300 B
arg ext 207 47 60 5500 R
arg ext 75 112 30 9900 R
arg ext 72 116 10 2100 R
arg ext 210 45 0 6000 R
arg ext 178 100 50 700 R
file ext 242 65 62 1500 R
file ext 249 65 58 8200 R
arg ext 71 37 0 3900 R
arg ext 134 68 50 9800 B
arg ext 74 128 50 600 B
arg ext 246 45 0 1700 B
arg ext 23 65 80 8900 R
arg ext 156 122 50 5500 R
arg ext 77 45 0 4400 R
arg ext 160 45 11 1500 R
file ext 194 65 50 2500 R
arg ext 169 45 0 9600 R
arg ext 98 111 22 9700 R
arg ext 238 117 66 5700 R
file ext 11 65 91 5000 R
arg ext 80 88 88 3400 R
arg ext 7 88 88 1800 R
arg ext 177 45 0 3600 R
arg ext 9 45 11 1900 R
arg ext 117 116 44 7400 R
file ext 146 64 0 2600 R
file ext 193 65 95 1000 B
arg ext 109 74 0 6000 B
arg ext 114 16 50 6500 B
arg ext 224 74 0 500 R
file ext 150 65 45 5700 R
arg ext 83 45 25 6700 R
arg ext 158 45 0 900 R
arg ext 147 65 60 6500 B
arg ext 193 8 0 3000 B
arg ext 209 45 0 6900 B
file ext 151 65 75 2300 R
file ext 14 65 91 4400 R
file ext 103 65 25 3700 R
arg ext 197 39 0 600 R
file ext 213 0 54 4800 R
arg ext 137 8 50 2900 R
arg ext 197 45 0 3100 R
arg ext 198 45 50 9300 R
file ext 80 32 20 6100 B
file ext 7 0 45 3600 B
file ext 137 0 50 5000 B
arg ext 50 45 0 3100 B
arg ext 196 45 0 3200 B
file ext 90 65 50 3900 R
file ext 216 65 79 6900 R
arg ext 197 45 0 5300 R
file ext 133 65 54 4700 R
arg ext 61 111 50 0 R
arg ext 254 111 50 2600 R
arg ext 54 111 50 8800 R
arg ext 232 45 0 5800 R
file ext 96 65 20 9100 R
file ext 62 65 20 7200 R
arg ext 43 32 0 5300 R
arg ext 181 47 71 5300 R
arg ext 244 32 0 4000 R
file ext 148 65 87 800 R
arg ext 224 32 0 2400 R
arg ext 4 32 0 5600 R
arg ext 163 16 0 400 R
arg ext 163 16 0 200 R
arg ext 104 32 0 4000 R
arg ext 112 47 85 0 R
arg ext 116 16 0 200 R
file ext 186 65 79 6400 R
arg ext 40 65 50 7100 R
file ext 160 8 66 5600 R
file ext 100 65 0 6700 R
file ext 60 65 37 4700 R
file ext 94 0 95 8800 R
arg ext 156 112 50 2600 R
arg ext 242 45 0 9700 R
arg ext 156 45 0 4200 R
arg ext 140 44 0 7000 R
arg ext 7 108 50 3200 R
arg ext 52 44 50 7900 R
arg ext 254 101 44 9500 R
arg ext 135 45 0 300 R
arg ext 26 128 0 5800 B
arg ext 216 101 88 5700 R
arg ext 145 114 11 3000 R
arg ext 217 117 22 500 R
arg ext 235 47 50 400 R
arg ext 53 47 50 5100 B
arg ext 240 47 50 3100 B
arg ext 214 97 22 8100 R
arg ext 29 103 77 1700 R
arg ext 123 76 11 8200 R
file ext 152 65 75 9800 R
arg ext 198 45 0 6800 B
arg ext 39 45 0 3500 B
file ext 255 65 58 9800 B
arg ext 76 114 50 9800 R
arg ext 18 45 0 4500 B
arg ext 211 45 0 3300 B
file ext 103 253 8 1400 R
file ext 171 253 8 7500 R
file ext 135 7 4 6100 R
file ext 159 65 45 7000 B
arg ext 214 45 0 900 R
arg ext 90 45 0 600 R
arg ext 245 68 50 4000 R
arg ext 31 10 0 6600 R
arg ext 46 10 0 7700 R
arg ext 145 4 0 9200 R
arg ext 230 90 0 5900 R
arg ext 46 2 0 2000 B
file ext 165 65 83 4800 R
file ext 59 65 62 6000 B
arg ext 191 90 0 2100 R
